,tcre,zec50,zec100,zec200,tr1000,tr0,tpw
1166892,1.132188353173755,-0.08846123915174009,-0.1385835981372151,-0.19649569055189564,-0.18181571996286627,-0.24896071086348243,-12
1169580,1.7166837739307623,-0.06903408853141069,-0.07284908287260827,-0.07133276869722627,-0.10550983258783475,-0.1010252877270287,-3
1169714,2.1280666853750896,0.021875861768808402,0.03681464808173507,0.08123341356429448,0.05500203731659159,-0.004077092101934132,3
1170129,1.5164976797890821,-0.1060414526825233,-0.1562556675247857,-0.21814791054025306,-0.19496997607862898,-0.3105824888897991,-8
1170199,2.416193910747558,0.41815852261680675,0.6042414114841432,0.7017350270130662,0.8005403424527207,0.3522797213986234,19
1171593,1.3102349266750122,0.04802788260154012,0.02147536653728821,-0.08762793694699922,0.05667000114426779,-0.2035463129842745,3
1171898,1.4711838438381484,-0.08774847433044553,-0.12177391006370741,-0.16448321625909257,-0.15415399051594858,-0.22670450169629774,-6
1172025,1.432973295403218,0.002912938162177303,0.022808417095067313,0.021168551104421063,0.00958698026836502,-0.10109093837801651,1
1174930,1.5635762679706864,0.08018847335308266,0.13909660381212752,0.23616404948527592,0.1776399606824277,0.1325109977847684,7
1175146,1.8017411631244886,-0.162329648704012,-0.25268188250530677,-0.3612291880349945,-0.3050249965198273,-0.5159356011731369,-10
1176423,1.564830741768982,-0.06799317334350019,-0.10261625386299,-0.13761026804737542,-0.10863328263782668,-0.16515579940557024,-4
1179099,1.5748271865505452,-0.004343868798397432,0.0132025959137676,0.04228179557722056,0.0016199906717058177,-0.07292356587055177,0
1180920,1.4130191290986516,-0.017655546559711466,-0.02038164482254201,-0.026843825691005074,-0.042886918295897525,-0.1710021040908507,0
1181470,0.9730548999536236,-0.02163859648356936,-0.033186123069678164,-0.04998732559877195,-0.05733047399208868,-0.19246449245214578,-2
1184727,1.4966873323292784,0.030331032821619086,0.0719734437936177,0.09316853655563806,0.07686355079597407,0.031507495656099865,4
1185592,1.4031599283605911,-0.02410912230036999,-0.005181100710244024,0.037716337702009994,-0.033083444493847036,-0.0770108191064548,-1
1185792,1.6576702823030114,0.2798750631559992,0.3705894430883616,0.3655920331540792,0.5182387511475388,0.16755284390297512,17
1189455,2.0770416946032184,0.29799484827736133,0.3924777482744992,0.3346682551329865,0.5324516017177201,0.12419513055698467,15
1194608,1.3276798651398463,-0.029266473017752093,-0.07333060759666621,-0.1661907633250801,-0.06682292143737167,-0.2501329273896145,-3
1196639,1.872891624093241,-0.029114007697423228,-0.12192770918299045,-0.2557267906535434,-0.1074854135988641,-0.36224951228656366,-2
1197342,1.474359265535523,0.11349806264550066,0.16569043036538278,0.14695997290585594,0.2025488773807056,0.04611875238180346,9
1198587,1.4887663697923101,-0.03158602035654967,-0.04752020381292121,-0.044772668448442854,-0.043572773376366,-0.10293447858982394,-1
1198844,1.647354713881435,0.13832218789155282,0.21691105565297275,0.2525706778122174,0.2785074636166043,0.11977736014702192,11
1200324,1.1454655618575862,-0.12839746101747251,-0.19070202851603146,-0.2611969716485121,-0.2501397706086924,-0.36187554119973375,-14
1202131,1.531301791061709,0.051028232002086726,0.10222791777458795,0.16073786503960674,0.12155905003116185,0.040950983933194476,5
1204024,1.6178226167658603,0.048771188100404705,0.12309068580202731,0.2296359851361871,0.12158339631196369,0.106872579017513,5
1204303,2.0426227235714007,0.14906210846804946,0.2472413520522525,0.32071416532275343,0.31073982289660496,0.1827161701575816,10
1204597,1.3361297043211875,-0.07780731861780343,-0.14745409524694608,-0.23259731947315054,-0.18104905624831735,-0.33815878116946974,-6
1204919,1.9856438158942558,-0.053085067098147753,-0.12225233899079169,-0.2050707266380467,-0.10606029235668624,-0.3261995864848827,-2
1206646,1.4772714556299613,0.014962573436748894,0.07753647521158724,0.1618125043933727,0.056902299267364675,0.10734169989635489,3
1206990,1.8776232424290975,0.09054302388711188,0.15184890774409743,0.16577337610970533,0.1848493394840962,0.07812113140873614,7
1209115,1.5986270903212119,-0.1673185785080873,-0.22890590144439948,-0.30324300526759296,-0.3088325934835243,-0.34544760412800246,-12
1209945,1.8047432430076813,0.02517869431799058,0.0706722864680458,0.12460342608207475,0.05504060709817793,0.055941610678494916,3
1210011,1.4596844742159056,-0.009484315108148511,-0.005753158940669634,-0.0034830743096379013,0.0012502060686587768,-0.0551676185779748,0
1214084,1.6787842506940827,-0.1155136873448881,-0.2209566804851768,-0.35245009872003186,-0.24499587517296062,-0.4305350853159532,-7
1214192,1.1289746087613162,-0.0312966413159641,-0.032213201349038156,-0.059636339065341604,-0.06057620226531557,-0.12759225575277067,-2
1215895,1.1133488625201637,0.046207115929284726,0.06512776490199434,0.06423274765144993,0.07509278880116743,-0.05946431274706093,5
1220098,1.3182388324802128,-0.027178225453927674,-0.03237173534596938,-0.03920864211048691,-0.04618649157068089,-0.11179243877492222,-1
1220852,1.522722589377951,0.008817803997044571,0.03358442404588402,0.03914053061102396,0.026968391784647716,-0.05435792192397343,2
1224173,1.9996644169985598,0.24927225167268796,0.3659394298326397,0.3681984934175899,0.49303465821252246,0.33502255681102877,15
1226135,1.5275357827005265,-0.02527059900348494,-0.061201243556898266,-0.11214459144726607,-0.051648360857211584,-0.17911141652730708,-2
1228696,1.4817522935516891,-0.0049780368354250815,-0.04981434249329553,-0.11305829269207668,-0.028373385842248577,-0.21720686701401942,-1
1232560,1.3451855063851008,-0.03436758332676337,-0.07561342739615329,-0.12094796217875214,-0.0753063192526322,-0.19950365614090773,-2
1240179,1.1888409990893805,-0.07044168411174079,-0.08434597170729674,-0.11492975397893579,-0.12753166957383621,-0.13917318462997866,-6
1240864,1.63048367455298,-0.04031543648912028,-0.038142342009202634,-0.03515508413502588,-0.059378277135455626,-0.10050169808508208,-2
1241277,2.3373672524179865,-0.039465799627134146,-0.11145224063415071,-0.17097923150072125,-0.05988233573922086,-0.28844441000055954,-1
1244349,1.7649228686606224,-0.03287728074253371,-0.16046242562861313,-0.35312537087739315,-0.12980799371640672,-0.477761538158198,-4
1245014,1.689776281183648,0.017763374088740846,0.07663410586787656,0.17322822422252404,0.07614154601420431,0.10474965010990409,3
1245401,1.8165886702620333,0.07176917633758562,0.10398606167114166,0.20334720476532464,0.1518757884882751,0.05445546578132343,6
1248238,1.3606899017096876,0.05772807181416928,0.050929374955471785,-0.02990485436452861,0.08557608109010784,-0.16900918042676027,5
1248806,1.9021576534177187,0.14646866723953456,0.2175625757250741,0.2519544350559888,0.27518005640548604,0.09270943228144599,10
1249015,1.46756905613788,-0.011329495589928795,-0.025882854439480685,-0.04218439941147545,-0.02309270935434382,-0.10228213484213397,0
1249106,1.336851186125866,-0.1354479740772807,-0.20355164203691833,-0.2773180514327338,-0.2575592129916342,-0.31833748279014534,-13
1250002,1.6625976923193557,0.0722797052228834,0.16144960899462757,0.27976275189525945,0.1660153458366671,0.18973899604395178,7
1250330,1.6925118541248731,-0.04246059270865965,-0.046411043298776544,-0.04992496970937266,-0.06796401440586153,-0.16929646594722308,-2
1253024,1.6673896457262807,0.12650324436343485,0.2045647695686721,0.21572674993646768,0.2472696780957886,0.11048851323796764,10
1253262,1.7157342887283176,0.11174609568756755,0.23643063983245094,0.4360051716045401,0.2776920095782498,0.4284887744173226,10
1254761,1.4491586306235087,-0.08830311842004646,-0.15596913953134495,-0.23901357352219077,-0.17444114301621338,-0.3590143688548213,-7
1259594,2.135946451491871,0.1197225144065861,0.04918250158507931,-0.03585738048052933,0.18280408395720826,-0.18305122352997918,6
1260165,1.4441849234510125,-0.04403579029665661,-0.04628476142809035,-0.06371017444379778,-0.07148385073474639,-0.15659836818100167,-3
1263440,2.0876516804065113,0.03699846423989106,0.04253094559860893,0.09438979132189029,0.0892811962169926,-0.12155273495474947,3
1265081,1.6520540404591648,0.11944883922668281,0.1840969005763815,0.19592397608536127,0.22539708107787315,0.09066925937402576,10
1265376,1.8992274813055072,0.14431018158321463,0.12391012987195271,-0.030594052887401357,0.20937093630373527,-0.23279758776622853,7
1265627,1.6362647722808066,-0.11124281009046166,-0.1908299803814255,-0.2842377557430509,-0.20605207191174313,-0.3350884265247386,-8
1268916,1.1102867326655015,-0.007587228181823669,0.004653820810066822,0.0014523308987530736,-0.012870895694622408,-0.04498284860181278,1
1270225,1.8001479433453025,0.09571006813961036,0.2031431376977395,0.3719070573309684,0.2302453509580562,0.28793155266217557,8
1271832,1.5118334069532697,-0.015740744408565988,0.0012932540665648862,0.0457776052042731,-0.026570708268352172,-0.023945492821387943,1
1273334,2.2566285437645366,0.2773745348968877,0.4294320912722105,0.6095998224390957,0.55260942802638,0.3280703761390307,15
1281588,1.560801125060729,-0.025480015270005207,0.0044136322917567306,0.07677929479181489,-0.033566303262040575,-0.0006305382960076766,0
1281636,1.3797133029758593,-0.12424070832974099,-0.1866597996694832,-0.2649666620203681,-0.2335279730748414,-0.4166529992352387,-11
1282280,2.0151785926978723,-0.14176177696551795,-0.2339896996934676,-0.3505761106245686,-0.26327288326296117,-0.4060684621821495,-8
1285834,2.1114141908034423,0.03697846502660562,0.017704595256754718,-0.12576703956236646,0.042829793957810836,-0.2903164765473977,2
1286018,1.38418166064831,-0.0817307127321405,-0.10281315763941157,-0.10976501359289936,-0.15775988895118997,-0.15529601959853329,-5
1286169,1.4934658490345243,-0.08632524447492318,-0.10558403027436847,-0.11685561904344088,-0.17323022464031568,-0.1733770312038107,-5
1287472,1.9920941536358623,0.15785157485842105,0.23313291001453496,0.28867613646769263,0.3075992113339694,0.11728363501771888,10
1289171,1.7846467565141615,0.12492748783596652,0.16941324964411564,0.18685117022557973,0.24618429573011014,0.07009869960574608,9
1290303,2.557301910979137,0.2460222599690236,0.31644126650292037,0.4532694011733347,0.46654214143799067,0.15897991010948614,11
1292701,1.6729697214930364,-0.09519272714033233,-0.14618311315852384,-0.18118332730600994,-0.17995114553781533,-0.1924176105281587,-5
1293841,1.540920984376746,-0.09959787604358739,-0.1630239350882956,-0.22666286394764135,-0.19800677802764977,-0.27312539709614675,-6
1294667,1.0697439380364793,0.02674942755289611,0.04709168040238976,0.0370039438365346,0.05555246481275056,-0.006680584674573858,4
1295558,1.166084654090128,-0.010858363116115433,-0.0018063539303971865,-0.001151009983048068,-0.012203352906976717,-0.08687118273690746,0
1296547,1.5314303030177414,-0.06533162384263469,-0.11236691057064174,-0.15507538551406497,-0.14174925136044236,-0.28046367706774555,-4
1296989,1.1612559951158896,-0.060480174645585416,-0.07280000945377685,-0.08597259640983346,-0.1076971997314844,-0.09812235317194011,-4
1297630,1.5720551720005127,0.06487706804985605,0.10828529161404354,0.13635429189909143,0.13580361946052788,0.008508997111414382,6
1298917,1.9604738977698553,-0.09532624164901615,-0.21741795541235098,-0.29363385257452346,-0.2486611514213677,-0.4545953067905643,-10
